Ano;Temos;Pedro;Escopo;Serie;Fonte curta;Orden.;Rendas;Exerc.;Faixas;Moeda;Unidade;Pag.;Ref.
1954;1;1;BR;N-RLIQ;AEB 1956;RLIQ;"RLIQ; RB; imp.; pess.";1955;14;Cr$;Cr$ mil;400/404;[11]
1955;1;1;BR;N-RLIQ;AEB 1957;RLIQ;"RLIQ; RB; imp.; pess.";1956;14;Cr$;Cr$ mil;474/452;[12]
1956;1;1;BR;N-RLIQ;AEB 1958;RLIQ;"RLIQ; RB; imp.; pess.";1957;13;Cr$;Cr$ mil;476/450;[13]
1957;1;1;BR;N-RLIQ;AEB 1959;RLIQ;"RLIQ; RB; imp.; pess.";1958;13;Cr$;Cr$ mil;440/436;[14]
1958;1;1;BR;N-RLIQ;AEB 1960;RLIQ;"RLIQ; RB; imp.; pess.";1959;13;Cr$;Cr$ mil;383/377;[15]
1959;1;1;BR;N-RLIQ;AEB 1961;RLIQ;"RLIQ; RB; imp.; pess.";1960;13;Cr$;Cr$ mil;420/423;[16]
1960;1;1;BR;N-RLIQ;Rel. DIR 1961;RLIQ;"RLIQ; RB; imp.; pess.";1961;16;Cr$;Cr$ mil;50/46;[17]
1961;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1962;0;0;-;No data;No data;-;-;-;-;-;-;-;No data
1963;1;1;BR;N-RLIQ;Rel. DIR 1964;RLIQ;"RLIQ; RB; imp.; pess.";1964;15;Cr$;Cr$ mil;71;[18]
1964;1;1;BR;N-RLIQ;Rel. DIR 1965;RLIQ;"RLIQ; RB; imp.; pess.";1965;15;Cr$;Cr$ mil;57/53;[19]
1965;1;1;BR;N-RLIQ;Bol. Est. 28;RLIQ;"RLIQ; RB; imp.; pess.";1966;13;NCr$;NCr$ mil;77/36;[20]
1966;1;1;GB;R-LOC;Bol. Est. 32;RLIQ;"RLIQ; imp.; pess.";1967;13;NCr$;NCr$ mil;61/29;[21]
1967;1;1;BR;N-RLIQ;CIEF 1968;RLIQ;"RLIQ; RB; imp.; pess.";1968;13;NCr$;NCr$ mil;121/48;[22]
1968;1;1;BR;N-RLIQ;AEF 1970;RLIQ;"RLIQ; RB; imp.; pess.";1969;18;Cr$;Cr$ mil;120/114;[23]
1969;1;1;BR;N-RLIQ;AEF 1971;RLIQ;"RLIQ; RB; imp.; pess.";1970;15;Cr$;Cr$ mil;168/178;[24]
1970;1;1;BR;N-RLIQ;AEF 1972;RLIQ;"RLIQ; RB; imp.; pess.";1971;8;Cr$;Cr$ mil;145/141;[25]
1971;1;1;BR;N-RLIQ;AEF 1973;RLIQ;"RLIQ; RB; imp.; pess.";1972;8;Cr$;Cr$ mil;202/200;[26]
1972;1;1;BR;N-RLIQ;AEF 1974;RLIQ;"RLIQ; RB; imp.; pess.";1973;8;Cr$;Cr$ mil;"220; 221/218; 219";[27]
1973;1;1;BR;P-CAND;AEF 1975;RBT;"RBT; RLIQ blocks";1974;15;Cr$;Cr$ mil;148/157;[28]
1974;1;1;BR;N-RLIQ;AEF 1976;RLIQ;"RLIQ; RB; imp.; pess.";1975;8;Cr$;Cr$ mil;"219; 220/216; 217";[29]
1975;1;1;BR;N-RLIQ;AEF 1977;RLIQ;"RLIQ; RB; imp.; pess.";1976;10;Cr$;Cr$ mil;"298; 299; 302; 303/295; 296; 299; 300";[30]
